Folder,Batch,Corrected Batch,Model,Acc1,Acc2,Acc3,Acc4,Acc5,Acc6,Acc7,Acc8,Acc9,Acc10,Avg Last 3,Val Acc1,Val Acc2,Val Acc3,Val Acc4,Val Acc5,Val Acc6,Val Acc7,Val Acc8,Val Acc9,Val Acc10,Avg Last 3
Peach,72,73,1,0.904029846,0.907974243,0.911071777,0.913238525,0.9140625,0.914848328,0.914970398,0.915779114,0.914924622,0.91620636,0.915636698,0.688873291,0.693588257,0.684265137,0.680938721,0.679000854,0.670730591,0.663208008,0.667396545,0.65562439,0.661102295,0.66137441
Peach,73,74,1,0.920860291,0.922737122,0.923683167,0.924766541,0.924819946,0.925308228,0.925498962,0.925727844,0.925949097,0.926101685,0.925926208,0.576675415,0.584007263,0.590034485,0.597564697,0.601867676,0.604606628,0.6092453,0.611579895,0.620887756,0.617889404,0.616785685
Peach,74,75,1,0.83732605,0.866111755,0.892753601,0.89805603,0.903808594,0.904876709,0.908195496,0.909255981,0.911689758,0.913093567,0.911346436,0.752632141,0.745758057,0.671043396,0.614860535,0.596130371,0.584205627,0.577949524,0.571723938,0.569923401,0.569549561,0.570398966
Peach,75,76,1,0.862007141,0.888145447,0.896972656,0.903144836,0.907859802,0.911354065,0.913421631,0.915740967,0.91696167,0.918884277,0.917195638,0.755020142,0.816078186,0.835319519,0.849990845,0.860984802,0.859924316,0.86466217,0.86315918,0.860984802,0.852531433,0.858891805
Peach,76,77,1,0.812736511,0.909591675,0.912490845,0.916625977,0.918113708,0.91985321,0.920280457,0.920684814,0.921775818,0.922607422,0.921689351,0.759147644,0.830093384,0.85168457,0.856628418,0.860099792,0.858406067,0.858711243,0.861793518,0.860572815,0.863014221,0.861793518
Peach,77,78,1,0.826255798,0.856117249,0.870002747,0.883407593,0.888092041,0.896354675,0.90423584,0.909896851,0.9168396,0.919166565,0.915301005,0.863487244,0.859298706,0.854782104,0.842018127,0.846557617,0.848197937,0.849311829,0.857276917,0.856834412,0.861206055,0.858439128
Peach,78,79,1,0.830207825,0.893875122,0.920181274,0.925109863,0.926872253,0.928260803,0.928710938,0.929824829,0.929496765,0.929969788,0.929763794,0.911056519,0.90977478,0.91506958,0.911743164,0.910339355,0.900741577,0.904922485,0.882652283,0.902931213,0.863723755,0.883102417
Peach,79,80,1,0.733535767,0.794960022,0.809455872,0.830581665,0.8489151,0.859397888,0.863716125,0.871620178,0.874267578,0.880241394,0.875376383,0.639823914,0.582061768,0.729278564,0.738830566,0.746871948,0.734481812,0.72354126,0.732002258,0.714248657,0.751342773,0.73253123
Peach,80,81,1,0.821113586,0.876708984,0.899673462,0.906333923,0.912361145,0.917167664,0.920806885,0.923973083,0.926116943,0.927482605,0.925857544,0.499977112,0.49520874,0.489868164,0.489715576,0.489860535,0.488990784,0.493003845,0.497467041,0.504936218,0.519493103,0.507298787
Peach,81,82,1,0.727775574,0.768478394,0.793540955,0.845848083,0.87134552,0.871063232,0.855728149,0.865898132,0.883789063,0.889785767,0.87982432,0.642745972,0.623260498,0.796165466,0.628646851,0.626953125,0.755104065,0.629241943,0.688224792,0.631752014,0.699653625,0.673210144
Peach,82,83,1,0.870536804,0.886222839,0.908676147,0.915763855,0.92036438,0.922279358,0.923706055,0.924507141,0.925292969,0.925689697,0.925163269,0.708625793,0.698074341,0.719718933,0.719863892,0.718391418,0.716285706,0.71459198,0.714019775,0.711746216,0.71257782,0.71278127
Peach,83,84,1,0.538200378,0.822181702,0.852539063,0.861175537,0.868995667,0.878326416,0.881866455,0.892189026,0.893287659,0.898498535,0.894658407,0.628448486,0.846084595,0.839561462,0.838012695,0.834846497,0.827644348,0.815368652,0.816719055,0.816093445,0.800682068,0.811164856
Peach,84,85,1,0.809135437,0.861778259,0.875427246,0.88684845,0.841995239,0.882240295,0.897583008,0.900535583,0.902198792,0.901893616,0.901542664,0.732963562,0.715087891,0.686820984,0.600784302,0.712738037,0.690040588,0.681793213,0.685508728,0.690986633,0.688049316,0.688181559
Peach,85,86,1,0.670059204,0.886283875,0.900161743,0.905586243,0.909439087,0.907402039,0.910316467,0.912185669,0.91519165,0.91558075,0.914319356,0.47857666,0.57157135,0.601165771,0.622550964,0.631668091,0.645805359,0.642608643,0.658088684,0.650382996,0.666091919,0.658187866
Peach,86,87,1,0.891410828,0.916061401,0.919075012,0.919967651,0.921142578,0.921958923,0.922241211,0.922515869,0.92339325,0.922775269,0.922894796,0.730804443,0.696876526,0.674240112,0.662017822,0.652015686,0.646263123,0.641105652,0.636299133,0.631698608,0.626968384,0.631655375
Peach,87,88,1,0.72908783,0.906585693,0.916427612,0.924781799,0.923866272,0.917098999,0.89969635,0.916732788,0.924461365,0.926017761,0.922403971,0.529121399,0.529121399,0.529121399,0.529121399,0.529121399,0.612014771,0.529121399,0.529121399,0.529121399,0.529121399,0.529121399
Peach,88,89,1,0.877708435,0.896858215,0.899734497,0.90411377,0.908905029,0.912338257,0.916854858,0.918228149,0.921813965,0.920516968,0.920186361,0.605628967,0.603477478,0.603218079,0.604042053,0.603378296,0.601783752,0.61466217,0.636505127,0.667800903,0.677322388,0.660542806
Peach,89,90,1,0.866920471,0.882499695,0.886962891,0.89200592,0.896980286,0.901306152,0.903244019,0.904373169,0.906326294,0.908195496,0.906298319,0.793884277,0.781730652,0.788589478,0.78994751,0.786697388,0.781204224,0.770812988,0.76512146,0.760643005,0.750144958,0.758636475
Peach,90,91,1,0.848304749,0.869132996,0.890983582,0.909286499,0.911064148,0.912307739,0.912773132,0.913284302,0.913391113,0.913909912,0.913528442,0.698776245,0.707458496,0.769836426,0.833030701,0.845115662,0.831642151,0.841209412,0.847137451,0.849693298,0.843086243,0.846638997
Peach,91,92,1,0.894317627,0.90057373,0.904670715,0.906082153,0.909423828,0.910003662,0.910736084,0.912078857,0.912696838,0.913406372,0.912727356,0.889099121,0.906333923,0.906730652,0.908210754,0.905792236,0.905036926,0.904930115,0.902763367,0.906288147,0.899856567,0.90296936
